connexion;geo_point_2d;geo_shape;id_gares;nom_gares;id_ref_zdc;nom_zdc;id_ref_zda;idrefliga;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;style;idf;principal;x;y;
1053;49.1870872042629,2.459549118844452;"{""coordinates"": [2.459549118844452, 49.1870872042629], ""type"": ""Point""}";1052;Chantilly-Gouvieux;411429;Chantilly - Gouvieux;411428;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;dotted;0;0;660596.9644;6898729.3457;
;49.26394414357276,2.4689141153510383;"{""coordinates"": [2.468914115351038, 49.26394414357276], ""type"": ""Point""}";1053;Creil;411441;Creil;411440;A01842;RER D;D;RER;0;RER D;0;0;0;SNCF;#3F9C35;dotted;0;0;661337.2338;6907273.6537;
957;49.126209959725394,2.5070138416038654;"{""coordinates"": [2.507013841603865, 49.126209959725394], ""type"": ""Point""}";958;La Borne Blanche;411419;La Borne Blanche;411418;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;dotted;0;0;664015.1873;6891935.6596;
81;48.29359176777949,2.4011338944295835;"{""coordinates"": [2.401133894429583, 48.29359176777949], ""type"": ""Point""}";955;Malesherbes;411486;Malesherbes;411485;A01842;RER D;D;RER;0;RER D;0;0;0;SNCF;#3F9C35;dotted;0;1;655584.6925;6799419.8303;
1052;49.13828637433882,2.490178985421195;"{""coordinates"": [2.490178985421195, 49.13828637433882], ""type"": ""Point""}";957;Orry-la-Ville-Coye-la-Forêt;411422;Orry-la-Ville - Coye;411421;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;dotted;0;1;662795.0403;6893286.6213;
26;48.58272468713799,2.2234488335831086;"{""coordinates"": [2.223448833583109, 48.58272468713799], ""type"": ""Point""}";254;Égly;60052;Égly;415484;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;642723.0;6831672.0;
968;48.8058407886765,2.6191944124556525;"{""coordinates"": [2.619194412455653, 48.8058407886765], ""type"": ""Point""}";963;Émerainville-Pontault-Combault;67897;Émerainville - Pontault-Combault;43074;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;672031.7582;6856263.686;
788;48.66948372427284,2.3326229292104714;"{""coordinates"": [2.332622929210471, 48.66948372427284], ""type"": ""Point""}";257;Épinay-sur-Orge;60915;Épinay-sur-Orge;43076;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;650856.7941;6841243.2826;
821;48.953495202445616,2.3023468035919636;"{""coordinates"": [2.302346803591964, 48.953495202445616], ""type"": ""Point""}";258;Épinay-sur-Seine;72383;Épinay-sur-Seine;43077;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;648906.4362;6872840.7413;
274;48.43692393670402,2.1595305875651536;"{""coordinates"": [2.159530587565154, 48.43692393670402], ""type"": ""Point""}";271;Étampes;478855;Étampe;43080;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;1;637836.1692;6815513.6232;
137;48.49364457756063,2.1945817005254256;"{""coordinates"": [2.194581700525426, 48.49364457756063], ""type"": ""Point""}";274;Étréchy;59678;Étréchy;43081;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;640492.8806;6821791.2596;
334;48.63426831143351,2.4525733922724493;"{""coordinates"": [2.452573392272449, 48.63426831143351], ""type"": ""Point""}";276;Évry;60522;Évry;45745;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;659662.2083;6837260.3503;
609;48.62590139398081,2.430155386011356;"{""coordinates"": [2.430155386011356, 48.62590139398081], ""type"": ""Point""}";277;Évry Courcouronnes;60450;Évry - Courcouronnes;47906;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;658003.6258;6836341.8839;
621;49.00975645120457,2.5612326952251054;"{""coordinates"": [2.561232695225105, 49.00975645120457], ""type"": ""Point""}";743;Aéroport Charles De Gaulle 1;73596;Aéroport CDG 1 (Terminal 3);462398;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;667900.8037;6878960.9005;
743;49.00468746087186,2.57058948552452;"{""coordinates"": [2.57058948552452, 49.00468746087186], ""type"": ""Point""}";744;Aéroport Charles De Gaulle 2-TGV;73699;Aéroport CDG - Terminal 2 (TGV);473364;A01857;RER B;B;RER;0;RER B;0;0;0;SNCF;#4B92DB;solid;1;1;668582.2523;6878393.4208;
899;48.725535303926115,2.419565024387933;"{""coordinates"": [2.419565024387933, 48.725535303926115], ""type"": ""Point""}";3;Ablon;69554;Ablon;46387;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;657304.576;6847424.3178;
501;48.955402243597064,2.093521901580611;"{""coordinates"": [2.093521901580611, 48.955402243597064], ""type"": ""Point""}";4;Achères-Grand-Cormier;65190;Achères Grand Cormier;47915;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;633615.8945;6873208.1444;
202;48.97066504738864,2.0777317645655975;"{""coordinates"": [2.077731764565597, 48.97066504738864], ""type"": ""Point""}";6;Achères-Ville;73604;Achères Ville;46647;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;632479.4115;6874918.7325;
392;48.754946524596164,2.3009868557349504;"{""coordinates"": [2.30098685573495, 48.754946524596164], ""type"": ""Point""}";20;Antony;69759;Antony;43066;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;1;648611.4025;6850764.9;
403;48.798892499145914,2.3281369230647506;"{""coordinates"": [2.328136923064751, 48.798892499145914], ""type"": ""Point""}";22;Arcueil-Cachan;70263;Arcueil - Cachan;43067;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;650648.8903;6855633.6247;
